participant_id,switch_rate,stay_after_reward,perseveration,avg_reward,n_trials,slcn_age - years,filtered_out
11.0,0.34,0.9811320754716981,0.66,0.5346534653465347,101,10.28884326,False
360.0,0.35384615384615387,0.9428571428571428,0.6461538461538462,0.5419847328244275,131,26.56005753,False
301.0,0.1937984496124031,1.0,0.8062015503875969,0.5615384615384615,130,25.0,False
73.0,0.09230769230769231,0.9885057471264368,0.9076923076923077,0.6717557251908397,131,12.67351129,False
202.0,0.11538461538461539,1.0,0.8846153846153846,0.6106870229007634,131,17.3963039,False
214.0,0.5153846153846153,0.7162162162162162,0.4846153846153846,0.5725190839694656,131,11.87953457,False
441.0,0.24615384615384617,0.9866666666666667,0.7538461538461538,0.5725190839694656,131,18.75,True
425.0,0.4140625,0.8103448275862069,0.5859375,0.4573643410852713,129,31.0,False
311.0,0.14615384615384616,1.0,0.8538461538461538,0.5954198473282443,131,25.0,False
142.0,0.07692307692307693,1.0,0.9230769230769231,0.648854961832061,131,12.50376454,False
213.0,0.5461538461538461,0.7076923076923077,0.45384615384615384,0.4961832061068702,131,11.87953457,False
42.0,0.23846153846153847,0.92,0.7615384615384615,0.5725190839694656,131,12.83778234,False
205.0,0.3,0.9135802469135802,0.7,0.6183206106870229,131,17.01574264,False
427.0,0.4307692307692308,1.0,0.5692307692307692,0.5343511450381679,131,20.41666667,False
159.0,0.4418604651162791,0.7971014492753623,0.5581395348837209,0.5307692307692308,130,13.38809035,False
76.0,0.4,0.8985507246376812,0.6,0.5267175572519084,131,8.238193018,False
442.0,0.5769230769230769,0.7910447761194029,0.4230769230769231,0.5114503816793893,131,21.5,False
78.0,0.4153846153846154,0.8070175438596491,0.5846153846153846,0.44274809160305345,131,10.72142368,False
170.0,0.07692307692307693,1.0,0.9230769230769231,0.6412213740458015,131,13.54140999,False
220.0,0.27692307692307694,0.9864864864864865,0.7230769230769231,0.5725190839694656,131,16.47364819,False
67.0,0.08461538461538462,1.0,0.9153846153846154,0.5419847328244275,131,8.826830938,True
426.0,0.33076923076923076,0.9863013698630136,0.6692307692307692,0.5572519083969466,131,20.08333333,False
43.0,0.45384615384615384,0.9411764705882353,0.5461538461538461,0.5190839694656488,131,11.95619439,False
349.0,0.4076923076923077,1.0,0.5923076923076923,0.5343511450381679,131,26.0,False
449.0,0.2923076923076923,0.9864864864864865,0.7076923076923077,0.5648854961832062,131,18.75,True
320.0,0.17692307692307693,0.9594594594594594,0.823076923076923,0.5725190839694656,131,26.0,False
189.0,0.46923076923076923,0.7936507936507936,0.5307692307692308,0.48091603053435117,131,16.30663929,False
18.0,0.15483870967741936,0.978494623655914,0.8451612903225807,0.6025641025641025,156,12.63791923,False
173.0,0.2923076923076923,1.0,0.7076923076923077,0.6412213740458015,131,15.52635181,False
457.0,0.16923076923076924,1.0,0.8307692307692308,0.648854961832061,131,18.41666667,False
56.0,0.10852713178294573,0.9873417721518988,0.8914728682170543,0.6153846153846154,130,11.15947981,False
124.0,0.6846153846153846,0.40350877192982454,0.3153846153846154,0.44274809160305345,131,13.00205339,True
206.0,0.6230769230769231,0.696969696969697,0.3769230769230769,0.5114503816793893,131,8.227241615,False
455.0,0.16923076923076924,1.0,0.8307692307692308,0.549618320610687,131,20.25,False
77.0,0.35384615384615387,0.8875,0.6461538461538462,0.6183206106870229,131,11.83572895,True
405.0,0.2692307692307692,0.9629629629629629,0.7307692307692307,0.6183206106870229,131,,False
127.0,0.3769230769230769,0.9629629629629629,0.6230769230769231,0.6183206106870229,131,12.91991786,False
419.0,0.16153846153846155,1.0,0.8384615384615385,0.5801526717557252,131,18.0,False
125.0,0.1076923076923077,0.9866666666666667,0.8923076923076924,0.5725190839694656,131,14.04517454,False
429.0,0.35384615384615387,0.9393939393939394,0.6461538461538462,0.5038167938931297,131,19.0,False
421.0,0.2153846153846154,0.9868421052631579,0.7846153846153846,0.5801526717557252,131,20.5,False
310.0,0.2,1.0,0.8,0.6030534351145038,131,30.0,False
176.0,0.3333333333333333,0.9878048780487805,0.6666666666666666,0.6384615384615384,130,16.82409309,False
98.0,0.26153846153846155,0.9701492537313433,0.7384615384615385,0.5190839694656488,131,13.83709788,False
25.0,0.16923076923076924,1.0,0.8307692307692308,0.5877862595419847,131,13.86995209,False
208.0,0.3046875,0.9878048780487805,0.6953125,0.6434108527131783,129,15.54004107,False
112.0,0.3333333333333333,0.9285714285714286,0.6666666666666666,0.5461538461538461,130,9.149897331,False
52.0,0.375,0.9565217391304348,0.625,0.5348837209302325,129,8.145106092,False
407.0,0.2153846153846154,0.9529411764705882,0.7846153846153846,0.648854961832061,131,,True
149.0,0.43548387096774194,0.6785714285714286,0.5645161290322581,0.448,125,11.23613963,False
109.0,0.2846153846153846,0.9259259259259259,0.7153846153846154,0.6259541984732825,131,9.952087611,False
412.0,0.26153846153846155,1.0,0.7384615384615385,0.5801526717557252,131,20.25,False
75.0,0.15503875968992248,1.0,0.8449612403100775,0.6,130,8.824093087,False
165.0,0.13846153846153847,0.9882352941176471,0.8615384615384616,0.648854961832061,131,14.6036961,False
221.0,0.3515625,0.9558823529411765,0.6484375,0.5271317829457365,129,7.770020534,False
325.0,0.17692307692307693,1.0,0.823076923076923,0.5725190839694656,131,25.0,False
316.0,0.19230769230769232,1.0,0.8076923076923077,0.6259541984732825,131,25.0,True
151.0,0.4496124031007752,0.8714285714285714,0.5503875968992248,0.5461538461538461,130,12.64339493,False
418.0,0.4959349593495935,0.7368421052631579,0.5040650406504065,0.46774193548387094,124,26.0,False
