model,loss,Replacement,Submodels,Voting,Ensemble,Sessions,Trials
n4_eA_rF_vMed_s32,0.6029520629999999,FALSE,4,median,average,32,200
n4_eA_rF_vMed_s32,0.6029520629999999,FALSE,4,median,average,32,200
n4_eA_rF_vMed_s32,0.602952123,FALSE,4,median,average,32,200
n4_eA_rF_vMed_s32,0.602952003,FALSE,4,median,average,32,200
n4_eA_rF_vMed_s32,0.602952123,FALSE,4,median,average,32,200
n4_eA_rF_vMed_s32,0.602952123,FALSE,4,median,average,32,200
n4_eA_rF_vMed_s32,0.6029520629999999,FALSE,4,median,average,32,200
n4_eA_rF_vMed_s64,0.637874663,FALSE,4,median,average,64,200
n4_eA_rF_vMed_s64,0.6378747220000001,FALSE,4,median,average,64,200
n4_eA_rF_vMed_s64,0.637874663,FALSE,4,median,average,64,200
n4_eA_rF_vMed_s64,0.637874663,FALSE,4,median,average,64,200
n4_eA_rF_vMed_s64,0.637874663,FALSE,4,median,average,64,200
n4_eA_rF_vMed_s64,0.6378747220000001,FALSE,4,median,average,64,200
n4_eA_rF_vMed_s64,0.637874663,FALSE,4,median,average,64,200
n4_eA_rF_vMed_s64,0.6378747220000001,FALSE,4,median,average,64,200
n4_eA_rF_vMed_s64,0.637874663,FALSE,4,median,average,64,200
n4_eA_rF_vMed_s64,0.637874663,FALSE,4,median,average,64,200
n4_eA_rF_vMed_s128,0.58636868,FALSE,4,median,average,128,200
n4_eA_rF_vMed_s128,0.58636862,FALSE,4,median,average,128,200
n4_eA_rF_vMed_s128,0.58636862,FALSE,4,median,average,128,200
n4_eA_rF_vMed_s128,0.58636868,FALSE,4,median,average,128,200
n4_eA_rF_vMed_s128,0.58636862,FALSE,4,median,average,128,200
n4_eA_rF_vMed_s128,0.58636868,FALSE,4,median,average,128,200
n4_eA_rF_vMed_s128,0.58636868,FALSE,4,median,average,128,200
n4_eA_rF_vMed_s128,0.58636868,FALSE,4,median,average,128,200
n4_eA_rF_vMed_s128,0.58636868,FALSE,4,median,average,128,200
n4_eA_rF_vMed_s128,0.58636868,FALSE,4,median,average,128,200
n4_eA_rF_vMed_s128_t50,0.667874455,FALSE,4,median,average,128,50
n4_eA_rF_vMed_s128_t50,0.667874575,FALSE,4,median,average,128,50
n4_eA_rF_vMed_s128_t50,0.667874575,FALSE,4,median,average,128,50
n4_eA_rF_vMed_s128_t50,0.667874575,FALSE,4,median,average,128,50
n4_eA_rF_vMed_s128_t50,0.667874575,FALSE,4,median,average,128,50
n4_eA_rF_vMed_s128_t50,0.667874575,FALSE,4,median,average,128,50
n4_eA_rF_vMed_s128_t50,0.667874515,FALSE,4,median,average,128,50
n4_eA_rF_vMed_s128_t50,0.667874575,FALSE,4,median,average,128,50
n4_eA_rF_vMed_s128_t50,0.667874575,FALSE,4,median,average,128,50
n4_eA_rF_vMed_s128_t50,0.667874515,FALSE,4,median,average,128,50
n4_eA_rF_vMed_s64_t50,0.573743939,FALSE,4,median,average,64,50
n4_eA_rF_vMed_s64_t50,0.573743939,FALSE,4,median,average,64,50
n4_eA_rF_vMed_s64_t50,0.57374388,FALSE,4,median,average,64,50
n4_eA_rF_vMed_s64_t50,0.57374388,FALSE,4,median,average,64,50
n4_eA_rF_vMed_s64_t50,0.57374388,FALSE,4,median,average,64,50
n4_eA_rF_vMed_s64_t50,0.573743939,FALSE,4,median,average,64,50
