participant_id,x_learning_rate_reward_x_learning_rate_reward,x_value_reward_not_chosen_x_value_reward_not_chosen,x_value_choice_not_chosen_x_value_choice_not_chosen,x_learning_rate_reward_c_reward,x_value_choice_chosen_c_value_reward,x_learning_rate_reward_c_value_choice,x_value_choice_not_chosen_1,x_learning_rate_reward_c_value_reward,x_value_choice_not_chosen_c_value_reward,x_value_reward_not_chosen_1,x_value_choice_chosen_x_value_choice_chosen,x_value_choice_chosen_1,x_value_reward_not_chosen_c_value_choice,x_learning_rate_reward_1,beta_reward,beta_choice,params_x_learning_rate_reward,params_x_value_reward_not_chosen,params_x_value_choice_chosen,params_x_value_choice_not_chosen,total_params,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,switch_rate,stay_after_reward,perseveration,avg_reward,n_trials,slcn_age - years,nll_spice,nll_rnn,trial_likelihood_spice,trial_likelihood_rnn,bic_spice,aic_spice,n_parameters_spice,metric_n_trials
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6360785655983182,0.31277803393909354,0.0,0.9136806532057612,0.0,0.9960700897375743,4.549638271331787,0.0,1,1,1,1,4,-0.062183578,0.030527903,-0.025696738,-0.0067087263,0.038423713,0.0070444806,1.8100819e-09,-0.003006696,0.011882757,-0.041326515,0.017333437,-0.012372755,-0.017115675,-0.0004963616,0.02913499,-0.12677468,0.039821398,2.6145877e-09,1.9148356e-09,-0.18820658,-0.0004649375,-0.0014721112,0.34,0.9811320754716981,0.66,0.5346534653465347,101,10.28884326,168.74922609796283,164.16718370336852,0.43370434558086624,0.44365465191029463,360.52430312586614,347.49845219592567,5,101
360.0,0.0,0.0,0.0,0.0,1.0896995431730603,0.0,0.7871230681785223,0.0,0.0,-0.1734971282560588,0.0,0.0,0.6574100141027746,0.9841633079449328,3.321892738342285,0.0,1,2,1,1,5,-0.04265427,0.054450132,-0.016545933,0.03376626,-0.029956978,-0.07675548,-8.8221996e-10,0.07609873,0.07334589,-0.07050777,-0.07796301,0.022865724,-0.030630857,-0.0010950065,-0.095132895,0.081954256,-0.030392986,-6.483304e-10,6.7169416e-11,-0.18820648,-0.001025825,0.15652925,0.35384615384615387,0.9428571428571428,0.6461538461538462,0.5419847328244275,131,26.56005753,191.70627102066055,201.49461352750043,0.48108884138554336,0.46344692467186066,412.6177487440546,395.4125420413211,6,131
301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341694124964966,0.0,0.0,0.19233479693120833,0.0,0.3813594888647399,0.0,0.9971739157040902,5.358229637145996,2.8956174850463867,1,1,1,1,4,-0.09964208,0.1079548,-0.041662846,0.04756721,0.09188513,-0.017073486,-3.23035e-09,0.053496346,-0.044257805,-0.10523082,-0.08754709,-0.060316827,-0.079441935,-0.0024109993,-0.11076877,-0.11323171,0.11504353,5.0761435e-09,-5.964138e-10,0.10341052,-0.0021673783,0.12858586,0.1937984496124031,1.0,0.8062015503875969,0.5615384615384615,130,25.0,165.94738358827283,168.11117112544093,0.5282111511971673,0.5238334821057311,361.0536416027157,343.89476717654566,6,130
73.0,0.0,0.7507784122424817,0.0,0.0,1.0239153219015136,0.0,-0.10853242809839962,0.0,1.0300596883387783,0.1293318631781824,0.0,0.0,0.0,0.6435257802903652,4.737279891967773,1.0645545721054077,1,2,1,2,6,0.10224114,0.014985408,0.042792358,-0.0059626577,0.023574574,0.0070093456,-1.4593601e-09,0.104611814,0.0401224,-0.008203609,0.0081525035,-0.032916233,-0.0028060854,-0.0003952224,-0.013371957,0.23228312,0.067131445,-5.0077065e-10,1.974108e-09,-0.08099539,-0.0003732311,-0.012557479,0.09230769230769231,0.9885057471264368,0.9076923076923077,0.6717557251908397,131,12.67351129,71.3653268530818,63.124613522925245,0.7615596757115303,0.7858937770401571,181.67092930980826,158.7306537061636,8,131
202.0,0.0,0.0,0.0,0.0,0.8834654610755954,0.0,0.0,0.0,0.0,0.3209102181686606,0.0,0.21659380694149366,0.0,0.9821249347925187,6.399155616760254,5.094822406768799,1,1,2,0,4,0.025982948,-0.041323245,0.009562546,-0.024548447,0.10219494,0.1452664,-4.7524505e-11,-0.1222329,-0.12886974,0.053021476,0.06157115,-0.07967665,0.023167985,0.0008819865,0.08292283,0.034592908,0.15712886,-1.609281e-10,1.0293158e-10,0.32489195,0.0008196964,-0.11323654,0.11538461538461539,1.0,0.8846153846153846,0.6106870229007634,131,17.3963039,130.20437324735013,129.154452028106,0.6083753371367231,0.6108181910347934,289.6139531974338,272.40874649470027,6,131
214.0,0.0,0.0,0.0,0.0,0.676710940179447,0.0,-0.09402533549239953,0.0,0.9607523292910538,0.6203835901608036,0.0,0.0,0.0,0.9957435427109396,1.995006799697876,1.4747157096862793,1,1,1,2,5,-0.08179905,-0.11725759,-0.034391887,0.0040447162,-0.15617368,0.017859153,-7.916888e-10,-0.07684102,0.010726864,0.1502338,-0.008986021,0.09541857,0.06589286,0.0024629622,-0.020229504,0.4014242,-0.164085,-5.598334e-10,-8.219423e-10,-0.03968816,0.0022912645,-0.037499268,0.5153846153846153,0.7162162162162162,0.4846153846153846,0.5725190839694656,131,11.87953457,178.78052669492305,187.5455084897386,0.5054185290760715,0.4887898915431868,391.6337945430352,371.5610533898461,7,131
425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8796757191746953,0.0,0.0,0.0,0.0,0.629625810603096,0.4125543819818614,0.9212322936455407,1.2052855491638184,1.1495959758758545,1,1,1,1,4,0.018300045,0.05115943,0.016029382,0.056447662,-0.12722561,-0.19904636,1.7117856e-09,0.1271086,0.12226484,-0.060162388,-0.11920051,0.10370394,-0.028723486,-0.0010021256,-0.15261397,0.00032128012,-0.1680519,-7.561642e-09,-2.8847675e-09,-0.072430894,-0.0009412155,0.20708142,0.4140625,0.8103448275862069,0.5859375,0.4573643410852713,129,31.0,174.15014324651605,155.75679637702518,0.5091561379142813,0.5467801302193915,377.4124680765498,360.3002864930321,6,129
311.0,0.0,0.5856939136126302,0.0,0.0,0.9943538406422336,0.0,0.0,0.0,0.0,0.3314090989865744,0.0,0.0,0.0,0.6487671078244842,7.126938343048096,3.8175477981567383,1,2,1,0,4,0.07203234,0.023026217,0.045799784,-0.028858103,0.13187861,0.13106483,5.401647e-10,0.12111394,0.07721733,-0.024670243,0.07125178,-0.11997561,-0.011193644,-0.00035762414,0.094105095,0.2704422,0.23379505,1.0338573e-09,-1.5492216e-09,0.19625792,-0.0003390708,-0.10993843,0.14615384615384616,1.0,0.8538461538461538,0.5954198473282443,131,25.0,70.65033207421182,140.98184565513498,0.7636408010948519,0.5838573162244916,170.5058708511571,153.30066414842364,6,131
142.0,0.0,0.7489929643761336,0.0,0.0,1.0135997903826324,0.0,0.0,0.0,0.0,0.20132958045829055,0.0,0.0,0.0,0.6896755520751077,4.539148807525635,3.6072616577148438,1,2,1,0,4,0.03609624,0.020269552,0.07822225,-0.030537337,0.007919931,0.004145013,4.563779e-09,0.15136968,0.13161635,-0.016376665,0.074453436,-0.034638375,-0.013458761,-0.00023651368,0.09875704,0.2166357,0.048943162,-1.0967248e-08,-1.3375936e-09,0.17508005,-0.00021792004,-0.119380414,0.07692307692307693,1.0,0.9230769230769231,0.648854961832061,131,12.50376454,72.24373832428853,93.44636684153566,0.7590106582059575,0.700006595181025,173.69268335131056,156.48747664857706,6,131
213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5024204053308652,0.0,0.809100928155239,0.0,0.978179284731547,2.615793228149414,0.0,1,1,1,0,3,-0.008974903,-0.0067631076,-0.0031316825,-0.032769788,-0.06252488,-0.057073623,-2.1849507e-11,0.054762192,0.072616875,0.0057848576,0.08235385,0.07160419,0.0037701018,0.00014514614,0.11114467,-0.102456085,-0.10109389,-9.2467745e-10,6.2612034e-11,-0.18820733,0.00013678115,-0.11873352,0.5461538461538461,0.7076923076923077,0.45384615384615384,0.4961832061068702,131,11.87953457,204.5875977699779,216.45189549412143,0.45800796976829117,0.437730316986571,428.6453333417781,417.1751955399558,4,131
