term,groundtruth,sindy
1,0.05,0.05
q,0.9,0.92
c,-0.0125,-0.05
r,0.0,0.0
q^2,0.0,-0.04
q c,-0.225,-0.23
q r,0.0,0.0
c^2,0.0,0.0
c r,0.25,0.32
r^2,0.0,0.0
q^3,0.0,0.03
q^2 c,0.0,0.0
q^2 r,0.0,0.0
q c^2,0.0,0.0
q c r,0.0,0.0
q r^2,0.0,0.0
c^3,0.0,0.0
c^2 r,0.0,0.0
c r^2,0.0,0.0
r^3,0.0,0.0
