term,groundtruth,sindy
1,0.05,0.06
q,0.9,1.34
c,-0.0125,-0.08
r,0.0,-0.03
q^2,0.0,-1.29
q c,-0.225,-0.17
q r,0.0,0.11
c^2,0.0,0.0
c r,0.25,0.12
r^2,0.0,0.0
q^3,0.0,0.64
q^2 c,0.0,0.37
q^2 r,0.0,-0.08
q c^2,0.0,0.0
q c r,0.0,0.06
q r^2,0.0,0.0
c^3,0.0,0.0
c^2 r,0.0,0.0
c r^2,0.0,0.0
r^3,0.0,0.0
