Feature,Correlation,p-value
stay_after_reward,0.6186842012007233,1.7205127232873935e-29
avg_reward,0.4608701570282933,2.1555046308267775e-15
switch_rate,-0.4590460840243745,2.8656293114671828e-15
perseveration,0.4590460840243745,2.8656293114671828e-15
age,0.21503828277884263,0.0004123339221402368
n_trials,0.11850320518939754,0.053553072914755744
