,q,c,r
0,0.5,0.0,0.0
1,0.5,0.0,1.0
2,0.5,0.0,0.0
3,0.5,1.0,0.0
4,0.375,0.0,1.0
5,0.375,1.0,0.0
6,0.28125,0.0,1.0
7,0.28125,1.0,1.0
8,0.4609375,0.0,1.0
9,0.4609375,0.0,1.0
10,0.4609375,1.0,1.0
11,0.595703125,1.0,0.0
12,0.44677734375,0.0,1.0
13,0.44677734375,0.0,1.0
14,0.44677734375,0.0,1.0
15,0.44677734375,1.0,1.0
16,0.5850830078125,0.0,1.0
17,0.5850830078125,1.0,0.0
18,0.438812255859375,0.0,1.0
19,0.438812255859375,1.0,0.0
20,0.32910919189453125,1.0,0.0
21,0.24683189392089844,1.0,0.0
22,0.18512392044067383,0.0,1.0
23,0.18512392044067383,0.0,1.0
24,0.18512392044067383,0.0,1.0
25,0.18512392044067383,0.0,1.0
26,0.18512392044067383,0.0,1.0
27,0.18512392044067383,1.0,0.0
28,0.13884294033050537,0.0,1.0
29,0.13884294033050537,0.0,1.0
30,0.13884294033050537,0.0,0.0
31,0.13884294033050537,0.0,0.0
32,0.13884294033050537,1.0,1.0
33,0.35413220524787903,0.0,1.0
34,0.35413220524787903,0.0,1.0
35,0.35413220524787903,0.0,0.0
36,0.35413220524787903,0.0,0.0
37,0.35413220524787903,1.0,0.0
38,0.26559915393590927,0.0,1.0
39,0.26559915393590927,0.0,0.0
40,0.26559915393590927,0.0,0.0
41,0.26559915393590927,1.0,0.0
42,0.19919936545193195,0.0,0.0
43,0.19919936545193195,0.0,0.0
44,0.19919936545193195,1.0,0.0
45,0.14939952408894897,1.0,0.0
46,0.11204964306671172,1.0,1.0
47,0.3340372323000338,0.0,0.0
48,0.3340372323000338,1.0,0.0
49,0.25052792422502534,0.0,0.0
50,0.25052792422502534,0.0,0.0
51,0.25052792422502534,1.0,1.0
52,0.437895943168769,0.0,1.0
53,0.437895943168769,1.0,1.0
54,0.5784219573765768,1.0,0.0
55,0.43381646803243257,1.0,0.0
56,0.3253623510243244,1.0,1.0
57,0.4940217632682433,0.0,1.0
58,0.4940217632682433,0.0,0.0
59,0.4940217632682433,0.0,1.0
60,0.4940217632682433,1.0,1.0
