Metric,Correlation,p-value,n
Negative Log-Likelihood (SPICE),-0.06045012823529479,0.32601750208939495,266
Negative Log-Likelihood (RNN),-0.06811781375382495,0.2682843376668467,266
Trial Likelihood (SPICE),0.04832999110708129,0.43246237358660244,266
Trial Likelihood (RNN),0.049455622559424456,0.4218072174883928,266
BIC (SPICE),-0.06216565258653517,0.3124504719579594,266
AIC (SPICE),-0.061074449287921155,0.3210366987736371,266
