model,loss,Replacement,Submodels,Ensemble,Sessions,Trials,Voting
model_name,0.609040499,False,4,average,128,50,mean
model_name,0.609040558,False,4,average,128,50,mean
model_name,0.609040499,False,4,average,128,50,mean
model_name,0.609040499,False,4,average,128,50,mean
model_name,0.609040499,False,4,average,128,50,mean
model_name,0.6090404389999999,False,4,average,128,50,mean
model_name,0.6016392110000001,True,4,average,128,100,mean
model_name,0.601639271,True,4,average,128,100,mean
model_name,0.6016392110000001,True,4,average,128,100,mean
model_name,0.6016392110000001,True,4,average,128,100,mean
model_name,0.6016392110000001,True,4,average,128,100,mean
model_name,0.6016392110000001,True,4,average,128,100,mean
model_name,0.601639271,True,4,average,128,100,mean
model_name,0.6016392110000001,True,4,average,128,100,mean
model_name,0.6016392110000001,True,4,average,128,100,mean
model_name,0.6016392110000001,True,4,average,128,100,mean
model_name,0.582688808,False,4,average,128,100,mean
model_name,0.582688808,False,4,average,128,100,mean
model_name,0.582688868,False,4,average,128,100,mean
model_name,0.582688808,False,4,average,128,100,mean
model_name,0.582688808,False,4,average,128,100,mean
model_name,0.582688868,False,4,average,128,100,mean
model_name,0.582688808,False,4,average,128,100,mean
model_name,0.582688808,False,4,average,128,100,mean
model_name,0.582688808,False,4,average,128,100,mean
model_name,0.582688808,False,4,average,128,100,mean
model_name,0.606163025,True,4,average,128,200,mean
model_name,0.606163025,True,4,average,128,200,mean
model_name,0.606163025,True,4,average,128,200,mean
model_name,0.606163025,True,4,average,128,200,mean
model_name,0.606162965,True,4,average,128,200,mean
model_name,0.606162965,True,4,average,128,200,mean
model_name,0.606162965,True,4,average,128,200,mean
model_name,0.606163025,True,4,average,128,200,mean
model_name,0.606162965,True,4,average,128,200,mean
model_name,0.606162965,True,4,average,128,200,mean
model_name,0.591987669,False,4,average,128,200,mean
model_name,0.591987669,False,4,average,128,200,mean
model_name,0.591987669,False,4,average,128,200,mean
model_name,0.591987669,False,4,average,128,200,mean
model_name,0.591987669,False,4,average,128,200,mean
model_name,0.591987669,False,4,average,128,200,mean
model_name,0.59198761,False,4,average,128,200,mean
model_name,0.59198761,False,4,average,128,200,mean
model_name,0.591987669,False,4,average,128,200,mean
model_name,0.591987669,False,4,average,128,200,mean
